"pub_id","author_s","year","article","journal","volume","pages","country","continent","animal","breed","stage_life_m","lifespan_m","norm_age","bw_mean_kg","bw_sd_kg","sex","lactating","article_id","model","exp_id","treatment","potential_exposure_day","pfos_plasma_mean","pfos_plasma_sd","pfos_plasma_units","pfos_plasma_ns"
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",7,0.195,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",10,0.28,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",15,0.61,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",20,0.096,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",25,1.5,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",29,0.15,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",1,"CLANE",0,5e-04,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",1,5e-04,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",4,0.067,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",7,0.129,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",10,0.171,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",15,0.448,NA,"ug/mL",1
